nu (cm^-1),absorbance
4.383490521000000626e+03,1.699216254896926959e-01
4.383491520999999921e+03,1.703363223808891380e-01
4.383492521000000124e+03,1.707602328387784751e-01
4.383493521000000328e+03,1.711933479471844100e-01
4.383494521000000532e+03,1.716356912571748994e-01
4.383495521000000736e+03,1.720872873160011196e-01
4.383496521000000030e+03,1.725481600994944187e-01
4.383497521000000233e+03,1.730183314040083797e-01
4.383498521000000437e+03,1.734978192414743658e-01
4.383499521000000641e+03,1.739866362991249193e-01
4.383500520999999935e+03,1.744847885121536546e-01
4.383501521000000139e+03,1.749927929571425678e-01
4.383502521000000343e+03,1.755096006591823909e-01
4.383503521000000546e+03,1.760357094441868664e-01
4.383504520999999841e+03,1.765710881435946511e-01
4.383505521000000044e+03,1.771156952774178284e-01
4.383506521000000248e+03,1.776694793164915187e-01
4.383507521000000452e+03,1.782323955215882605e-01
4.383508521000000655e+03,1.788043423403953280e-01
4.383509520999999950e+03,1.793852597850411623e-01
4.383510521000000153e+03,1.799750665512997727e-01
4.383511521000000357e+03,1.805736781884383635e-01
4.383512521000000561e+03,1.811810093278822809e-01
4.383513520999999855e+03,1.817969760319828876e-01
4.383514521000000059e+03,1.824214964342486256e-01
4.383515521000000263e+03,1.830544999411095053e-01
4.383516521000000466e+03,1.836959397137289396e-01
4.383517521000000670e+03,1.843457150945025103e-01
4.383518520999999964e+03,1.850038053467339128e-01
4.383519521000000168e+03,1.856701794505781489e-01
4.383520521000000372e+03,1.863448154621799024e-01
4.383521521000000575e+03,1.870277245743641181e-01
4.383522520999999870e+03,1.877187892763936827e-01
4.383523521000000073e+03,1.884182099319590409e-01
4.383524521000000277e+03,1.891259172444422765e-01
4.383525521000000481e+03,1.898419306450008226e-01
4.383526521000000685e+03,1.905662672623246179e-01
4.383527520999999979e+03,1.912990580509285332e-01
4.383528521000000183e+03,1.920400509981836368e-01
4.383529521000000386e+03,1.927893496342976687e-01
4.383530521000000590e+03,1.935469121192903152e-01
4.383531520999999884e+03,1.943126444731389790e-01
4.383532521000000088e+03,1.950864338440100876e-01
4.383533521000000292e+03,1.958681154430259586e-01
4.383534521000000495e+03,1.966574734975246597e-01
4.383535521000000699e+03,1.974542359305871131e-01
4.383536520999999993e+03,1.982580699231436538e-01
4.383537521000000197e+03,1.990685784846678574e-01
4.383538521000000401e+03,1.998855013028107419e-01
4.383539521000000605e+03,2.007081792694618283e-01
4.383540520999999899e+03,2.015356624389976481e-01
4.383541521000000103e+03,2.023675658453505388e-01
4.383542521000000306e+03,2.032031658712822875e-01
4.383543521000000510e+03,2.040416830266154891e-01
4.383544521000000714e+03,2.048822888399730868e-01
4.383545521000000008e+03,2.057241143029362729e-01
4.383546521000000212e+03,2.065662440063320004e-01
4.383547521000000415e+03,2.074077898797037633e-01
4.383548521000000619e+03,2.082478105236473254e-01
4.383549520999999913e+03,2.090905604222046965e-01
4.383550521000000117e+03,2.099247942256068367e-01
4.383551521000000321e+03,2.107550502849897811e-01
4.383552521000000525e+03,2.115800421656678365e-01
4.383553521000000728e+03,2.123992459333441385e-01
4.383554521000000022e+03,2.132119790752967925e-01
4.383555521000000226e+03,2.140176454778983939e-01
4.383556521000000430e+03,2.148158563113414798e-01
4.383557521000000634e+03,2.156059972563344473e-01
